"Entry ID","Lemma ID","Code (survey)","Batch (survey)","List (survey)","Item (survey)","English Word Frequency","Frequency","Frequency SD","Frequency Z","Frequency N","Sign Unknown","Frequency (Native)","Frequency SD (Native)","Frequency Z (Native)","Frequency N (Native)","Sign Unknown (Native) (proportion)","Frequency (Nonnative)","Frequency SD (Nonnative)","Frequency Z (Nonnative)","Frequency N (Nonnative)","Sign Unknown (Nonnative) (proportion)","Dominant Translation","Dominant Translation Agreement (proportion)","Dominant Translation Agreement (Native) (proportion)","Dominant Translation Agreement (Nonnative) (proportion)","Nondominant Translations","Non-Signer Iconicity","Non-Signer Iconicity SD","Non-Signer Iconicity Z","Non-Signer Iconicity N","Non-Signer Iconicity ID","Deaf Signer Iconicity","Deaf Signer Iconicity SD","Deaf Signer Iconicity Z","Deaf Signer Iconicity N","Deaf Signer Iconicity (Native)","Deaf Signer Iconicity SD (Native)","Deaf Signer Iconicity Z (Native)","Deaf Signer Iconicity N (Native)","Consistency of Guesses","Accuracy of Guesses (proportion)","Transparency","Transparency SD","Transparency Z","Lexical Class","Initialized Sign","Fingerspelled Loan Sign","Compound","Number Of Morphemes","Sign Onset","Sign Offset","Sign Duration","Video Duration","Handshape","Selected Fingers","Flexion","Flexion Change","Spread","Spread Change","Thumb Position","Thumb Contact","Sign Type","Path Movement","Repeated Movement","Major Location","Minor Location","Second Minor Location","Contact","Nondominant Handshape","Wrist Twist","Handshape Morpheme 2","Selected Fingers Morpheme 2","Flexion Morpheme 2","Flexion Change Morpheme 2","Spread Morpheme 2","Spread Change Morpheme 2","Thumb Position Morpheme 2","Thumb Contact Morpheme 2","Sign Type Morpheme 2","Movement Morpheme 2","Repeated Movement Morpheme 2","Major Location Morpheme 2","Minor Location Morpheme 2","Second Minor Location Morpheme 2","Contact Morpheme 2","Nondominant Handshape Morpheme 2","Wrist Twist Morpheme 2","Handshape Morpheme 3","Selected Fingers Morpheme 3","Flexion Morpheme 3","Flexion Change Morpheme 3","Spread Morpheme 3","Spread Change Morpheme 3","Thumb Position Morpheme 3","Thumb Contact Morpheme 3","Signtype Morpheme 3","Movement Morpheme 3","Repeated Movement Morpheme 3","Major Location Morpheme 3","Minor Location Morpheme 3","Second Minor Location Morpheme 3","Contact Morpheme 3","Nondominant Handshape Morpheme 3","Wrist Twist Morpheme 3","Handshape Morpheme 4","Selected Fingers Morpheme 4","Flexion Morpheme 4","Flexion Change Morpheme 4","Spread Morpheme 4","Spread Change Morpheme 4","Thumb Position Morpheme 4","Thumb Contact Morpheme 4","Sign Type Morpheme 4","Movement Morpheme 4","Repeated Movement Morpheme 4","Major Location Morpheme 4","Minor Location Morpheme 4","Second Minor Location Morpheme 4","Contact Morpheme 4","Nondominant Handshape Morpheme 4","Wrist Twist Morpheme 4","Handshape Morpheme 5","Selected Fingers Morpheme 5","Flexion Morpheme 5","Flexion Change Morpheme 5","Spread Morpheme 5","Spread Change Morpheme 5","Thumb Position Morpheme 5","Thumb Contact Morpheme 5","Sign Type Morpheme 5","Movement Morpheme 5","Repeated Movement Morpheme 5","Major Location Morpheme 5","Minor Location Morpheme 5","Second Minor Location Morpheme 5","Contact Morpheme 5","Nondominant Handshape Morpheme 5","Wrist Twist Morpheme 5","Handshape Morpheme 6","Selected Fingers Morpheme 6","Flexion Morpheme 6","Flexion Change Morpheme 6","Spread Morpheme 6","Spread Change Morpheme 6","Thumb Position Morpheme 6","Thumb Contact Morpheme 6","Sign Type Morpheme 6","Movement Morpheme 6","Repeated Movement Morpheme 6","Major Location Morpheme 6","Minor Location Morpheme 6","Second Minor Location Morpheme 6","Contact Morpheme 6","Nondominant Handshape Morpheme 6","Wrist Twist Morpheme 6","Sign Type Frequency","Major Location Frequency","Minor Location Frequency","Second Minor Location Frequency","Movement Frequency","Selected Fingers Frequency","Flexion Frequency","Flexion Change Frequency","Repeated Movement Frequency","Contact Frequency","Spread Frequency","Spread Change Frequency","Thumb Contact Frequency","Thumb Position Frequency","Ulnar Rotation Frequency","Neighborhood Density","Parameter Neighborhood Density","Phonotactic Probability","Phonological Complexity","SignBank Semantic Field","SignBank Reference ID","In CDI","CDI Semantic Category","Age Of Acquisition","Age Of Acquisition (Empirical)","Handshape Image"
"1_dollar","1_dollar","C_02_025","C","2","25","N/A","3.034","1.5","-0.728","29","0","2.944","1.474","-0.843","18","0","3.182","1.601","12","-0.541","0.083","N/A","N/A","N/A","N/A","N/A","1.074","0.267","-0.82","27","N/A","2.1","1.45","30","-0.42","2.29","1.49","-0.37","21","N/A","N/A","N/A","N/A","N/A","Noun","0","0","0","1","467","1101","634","1668","c","imrp","Curved","1","0","N/A","Open","0","Asymmetrical Different Handshape","Straight","1","Hand","Finger Back","Hand Away","1","B","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.175","0.25","0.019","0.155","0.457","0.449","0.225","0.209","0.446","0.622","0.602","0","0.684","0.657","0.836","0","383","-0.02","2","None","1268","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/c.png"" />"
"5_dollars","5_dollars","B_01_062","B","1","62","N/A","5.12","1.716","0.302","25","0","5.214","1.847","0.36","14","0","5","1.612","11","0.228","0","N/A","N/A","N/A","N/A","N/A","5.481","1.503","1.308","27","N/A","3.1","1.4","31","0.09","2.91","1.31","0.04","22","2.16","0.263","4.32","1.49","0.17","Noun","1","0","0","1","434","767","334","1468","5","imrp","Fully Open","0","1","0","Open","0","One Handed","None","0","Neutral","Neutral","N/A","0","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.392","0.363","0.363","0","0.153","0.449","0.409","0.791","0.554","0.378","0.398","0.878","0.684","0.657","0.164","4","190","0.281","1","Number","2436","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/5.png"" />"
"8_hour","8_hour","C_02_055","C","2","55","N/A","4.267","1.574","-0.025","30","0","4.444","1.723","-0.031","18","0","4","1.348","12","-0.017","0","N/A","N/A","N/A","N/A","N/A","2.654","1.623","-0.101","26","N/A","2.53","1.85","30","-0.19","2.52","1.78","-0.27","21","2.8","0","2.84","1.57","-0.69","Number","1","0","0","1","501","1235","734","2035","1","m","Curved","0","N/A","N/A","Open","1","Asymmetrical Different Handshape","Circular","0","Hand","Finger Front","Palm","1","B","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.175","0.25","0.015","0.025","0.076","0.045","0.225","0.791","0.554","0.622","0","0","0.316","0.657","0.836","0","129","-0.396","4","Number","2437","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/8.png"" />"
"9_oclock","9_oclock","C_02_080","C","2","80","N/A","4.133","1.592","-0.122","30","0","4.778","1.478","0.129","18","0","3.167","1.267","12","-0.497","0","N/A","N/A","N/A","N/A","N/A","2.741","1.43","0.034","27","N/A","3.23","2.03","30","0.14","3.24","2.17","0.06","21","1.69","0.4","3.8","1.99","0.3","Number","1","0","1","2","534","1268","734","2135","flat_1","i","Flat","0","N/A","N/A","Closed","0","One Handed","Straight","0","Arm","Wrist Back","N/A","1","N/A","0","f","i","Curved","0","N/A","N/A","Open","1","One Handed","Straight","N/A","Neutral","Neutral","Neutral","0","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.392","0.026","0.004","0","0.457","0.261","0.162","0.791","0.554","0.622","0","0","0.684","0.343","0.836","4","48","-0.252","1","None","2857","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/flat_1.png"" />"
"a-line_bob","a-line_bob","K_03_127","K","3","127","N/A","4.273","1.804","0.03","25","0.12","4.5","1.069","0.349","11","0.273","4.143","2.143","14","-0.152","0","N/A","N/A","N/A","N/A","N/A","3.769","1.925","-0.047","26","BOB HAIRCUT","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Noun","0","0","0","1","634","1301","667","1935","flat_b","imrp","Flat","0","0","0","Open","0","Symmetrical Or Alternating","Curved","0","Head","Head Away","Head Away","0","flat_b","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.345","0.266","0.066","0.178","0.233","0.449","0.162","0.791","0.554","0.378","0.602","0.878","0.684","0.657","0.164","4","158","0.089","2","N/A","N/A","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/flat_b.png"" />"
"a_little_bit","a_little_bit","H_03_025","H","3","25","N/A","2.963","2.028","-0.762","28","0.036","3","2.309","-0.731","14","0.071","2.929","1.817","14","-0.79","0","N/A","N/A","N/A","N/A","N/A","2.833","1.659","-0.195","24","a little bit","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Adjective","0","0","0","1","434","1101","667","1568","bent_1","t","N/A","1","N/A","N/A","Closed","N/A","One Handed","None","1","Neutral","Neutral","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.392","0.363","0.363","0","0.153","0.057","0","0.209","0.446","0.378","0","0","0","0.343","0.836","3","144","-0.758","2","Attribute","0","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/bent_1.png"" />"
"abbreviate","abbreviate","G_01_040","G","1","40","0.301","5.444","1.528","0.669","27","0","5.25","1.545","0.566","12","0","5.6","1.549","15","0.751","0","short","0.63","0.75","0.533","brief, knife, sharp","1.889","1.219","-0.764","27","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Verb","0","0","0","1","467","1068","601","1802","h","im","Fully Open","0","0","0","Closed","0","Dominance Violation","Straight","0","Hand","Finger Radial","Hand Away","1","Dominance Condition Violation","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.023","0.25","0.035","0.155","0.457","0.14","0.409","0.791","0.554","0.622","0.602","0.878","0.684","0.343","0.164","1","368","-0.065","2","Attribute","252","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/h.png"" />"
"about_1","about","B_02_072","B","2","72","5.268","5.48","1.475","0.523","25","0","5.5","1.787","0.518","14","0","5.455","1.036","11","0.529","0","N/A","N/A","N/A","N/A","N/A","2.067","1.484","-0.324","30","N/A","1.36","0.8","31","-0.81","1.36","0.85","-0.77","22","2.77","0","3.68","1.46","-0.15","Minor","0","0","0","1","367","1068","701","1869","1","i","Fully Open","0","N/A","N/A","Closed","0","Asymmetrical Same Handshape","Circular","0","Hand","Hand Away","Finger Tip","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.059","0.25","0.035","0.006","0.076","0.261","0.409","0.791","0.554","0.622","0","0","0.684","0.343","0.164","2","129","-0.49","2","Locative","2043","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/1.png"" />"
"about_2","about","B_02_003","B","2","3","5.268","3.522","1.534","-0.762","23","0.08","3.417","1.564","-0.794","12","0.143","3.636","1.567","11","-0.728","0","N/A","N/A","N/A","N/A","N/A","2.133","1.279","-0.309","30","N/A","1.9","1.27","31","-0.55","1.86","1.15","-0.56","22","2.87","0","3.68","1.8","-0.09","Minor","0","0","0","1","567","1502","934","2269","1","i","Fully Open","0","N/A","N/A","Closed","0","Asymmetrical Different Handshape","Circular","0","Hand","Hand Away","Finger Tip","1","O","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.175","0.25","0.035","0.006","0.076","0.261","0.409","0.791","0.554","0.622","0","0","0.684","0.343","0.164","0","129","-0.421","3","Locative","2042","Yes","Prepositions and Locations","61","35","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/1.png"" />"
"absolutely_nothing","absolutely_nothing","J_01_027","J","1","27","N/A","2.957","1.821","-0.686","30","0.233","2.833","1.946","-0.906","15","0.2","3.091","1.758","15","-0.445","0.267","none","0.409","0.455","0.364","none, blow, don't have, zero, nothing, whistle","1.5","1.142","-0.743","24","absolutely nothing","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Number","1","0","0","1","534","1001","467","1502","flat_o","imrp","Flat","0","0","0","Open","1","One Handed","None","0","Head","Mouth","N/A","1","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.392","0.266","0.046","0","0.153","0.449","0.162","0.791","0.554","0.622","0.602","0.878","0.316","0.657","0.836","3","232","0.211","1","Attribute","2044","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/flat_o.png"" />"
