abbey, a church associated with a monastery or convent,https://www.youtube.com/watch?v=YCTSJYXGul8
cagy, showing self-interest and shrewdness in dealing with others,https://www.youtube.com/watch?v=PjNZNosutGo
dame, a woman of refinement,https://www.youtube.com/watch?v=K4NO4YYYmYY
dame, a woman of refinement,https://www.youtube.com/watch?v=I_8PbNUNqgU
dame, informal terms for a (young) woman,https://www.youtube.com/watch?v=cccD9BzdWNQ
dame, a woman of refinement,https://www.youtube.com/watch?v=8L3N_npVkMs
earths-crust, the outer layer of the Earth,https://www.youtube.com/watch?v=Qy0hl4qHcZY
gallaudet, United States educator who established the first free school in the United States for the hearing impaired (1787-1851),https://media.signbsl.com/videos/asl/youtube/mp4/79dU1_BoVis.mp4
gallaudet, United States educator who established the first free school in the United States for the hearing impaired (1787-1851),https://media.signbsl.com/videos/asl/aslsignbank/mp4/GALLAUDET-1509.mp4
gallaudet, United States educator who established the first free school in the United States for the hearing impaired (1787-1851),https://media.signbsl.com/videos/asl/aslsignbank/mp4/GALLAUDET-2925.mp4
gallaudet, United States educator who established the first free school in the United States for the hearing impaired (1787-1851),https://player.vimeo.com/external/392141657.sd.mp4
hairless, having no hair or fur,https://www.youtube.com/watch?v=Ni__jPlXVZY
blood-red, having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies,https://media.signbsl.com/videos/asl/aslbricks/mp4/red.mp4
blood-red, having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies,https://media.signbsl.com/videos/asl/signlanguagestudent/mp4/red.mp4
blood-red, having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies,https://www.youtube.com/watch?v=8HFvoQXAiBQ
blood-red, having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies,https://www.youtube.com/watch?v=O3nQ5t3m5HU
blood-red, having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies,https://www.youtube.com/watch?v=EyKmo6RXVUU
blood-red, having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies,https://media.signbsl.com/videos/asl/startasl/mp4/red.mp4
blood-red, having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies,https://www.youtube.com/watch?v=My98g-WWaTE
blood-red, having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies,https://media.signbsl.com/videos/asl/youtube/mp4/tmt90unmujQ.mp4
blood-red, having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies,https://www.youtube.com/watch?v=ngcXYtoTjDY
blood-red, having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies,https://media.signbsl.com/videos/asl/youtube/mp4/Z7BO8CDBI7g.mp4
blood-red, having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies,https://www.youtube.com/watch?v=p-zYYFu5PQA
blood-red, having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies,https://media.signbsl.com/videos/asl/startasl/mp4/cherry.mp4
januaries, the first month of the year; begins 10 days after the winter solstice,https://media.signbsl.com/videos/asl/youtube/mp4/rdLtKXeZx5M.mp4
januaries, the first month of the year; begins 10 days after the winter solstice,https://www.youtube.com/watch?v=9OouodnYDg4
januaries, the first month of the year; begins 10 days after the winter solstice,https://player.vimeo.com/external/392866387.sd.mp4
key-hole, the hole where a key is inserted,https://media.signbsl.com/videos/asl/AustinCommunityCollege/mp4/weld_keyhole_.mp4
